company,tin,sealed_commitment,published_total,rc_total,delta_total,match_total,published_gfactor,rc_gfactor,match_gfactor
Kagem Mining Ltd,1001612576,62bbd44425e49333158282088008d7d2...,26258257,26258256,-1,True,0.18,0.1752,True
Mopani Copper Mines (KMW),1001630233,f4c2b681c9e20264525972555b65c4f6...,0,0,0,True,0.0,0.0,True
Maamba Collieries,1001594184,6ad127be71822497bdfd57f8ce997be9...,0,0,0,True,0.0,0.0,True
Lubambe Copper Mines,1001582192,c45d3361b026dfc5611eb8ea5901b6fe...,0,0,0,True,0.0,0.0,True
Konkola Copper Mines,1001772785,46365bf3a633006ec94e458cb35b8d79...,0,0,0,True,0.0,0.0,True
Chambeshi Copper Smelters,1001831030,320765f4298163177104243981eaa75c...,68929991,68929991,0,True,0.32,0.3241,True
NFC Africa (KWM),1001604906,1cbce4f17d91f644bfd0027ed8309a2a...,850615374,850615374,0,True,0.24,0.2438,True
CNMC Luanshya,1001591709,c45d3361b026dfc5611eb8ea5901b6fe...,0,0,0,True,0.0,0.0,True
Kansanshi Mining Company,1001602517,4f2d19df7a49c0c14e14fa86987cfdab...,681021281,681021281,0,True,0.19,0.1854,True
Lumwana Mining Company,1001828755,ea5b9853e198b6160527d6dc79472db3...,0,0,0,True,0.0,0.0,True
,,c45d3361b026dfc5611eb8ea5901b6fe...,0,0,0,True,0.0,0.0,True
